PRIMARY_KEY,REP_DATE,REP_TIME,SEX,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,SEARCH_BASED_ON_DESC,SEARCH_DISC_DESC,RACE_KNOWN,X_COORDINATE,Y_COORDINATE,SECTOR,LOCAL_FIELD1
201512021,01/02/2015,224,M,WHITE,11900 RESEARCH BLVD SVRD NB,YES = 1,CALL FOR SERVICE,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3110889,10127639,ADAM PD,6
201512049,01/01/2015,2229,M,BLACK,6100 SPRINGDALE RD,NO = 2,,,,,3136645,10084462,IDA,1
201512062,01/01/2015,2333,M,HISPANIC OR LATINO,5000 MUELLER BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3126296,10084253,IDA,9
201512065,01/01/2015,2238,M,BLACK,5500 BLOCK PINE PL,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3112171,10044414,FRANK,2
201512097,01/01/2015,2300,M,BLACK,8500 N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,3125257,10102147,EDWARD,4
201520047,01/02/2015,33,M,ASIAN,100 W 6TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3114274,10070789,GEORGE,9
201520050,01/02/2015,411,M,HISPANIC OR LATINO,2300 E MARTIN LUTHER KING JR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3122292,10075471,CHARLIE,1
201520052,01/02/2015,37,M,BLACK,600 E RUNDBERG LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3130375,10104307,EDWARD,4
201520085,01/02/2015,100,M,WHITE,1000 S 1ST ST,NO = 2,,,,,3111193,10065576,DAVID,9
201520111,01/02/2015,127,M,WHITE,6300 S IH 35 SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3106636,10043730,FRANK,2
