REP_DATE,REP_TIME,SEX,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,SEARCH_DISC_DESC,RACE_KNOWN,X_COORDINATE,Y_COORDINATE
3/24/2015,"1,747",F,HISPANIC OR LATINO,7400 LOYOLA LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,146,830","10,082,041"
3/24/2015,"1,902",F,HISPANIC OR LATINO,2800 BLOCK LYONS RD,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,125,521","10,069,527"
3/24/2015,"1,820",M,WHITE,9300 QUAIL FIELD DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,126,881","10,105,922"
3/24/2015,"1,820",M,WHITE,9300 QUAIL FIELD DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,126,881","10,105,922"
3/24/2015,"1,903",M,HISPANIC OR LATINO,204 W POWELL LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,125,823","10,100,257"
3/24/2015,"1,903",M,HISPANIC OR LATINO,204 W POWELL LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,125,823","10,100,257"
3/24/2015,"1,931",M,HISPANIC OR LATINO,2500 BLOCK SAN ANTONIO ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,114,252","10,078,474"
3/24/2015,"2,215",M,HISPANIC OR LATINO,933 E RUNDBERG LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,131,733","10,103,162"
3/24/2015,"2,140",M,HISPANIC OR LATINO,S 6TH ST / BRODIE ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,107,743","10,062,975"
3/24/2015,"2,212",F,HISPANIC OR LATINO,3500 BLOCK N IH 35 SVRD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,121,262","10,080,275"
3/24/2015,"2,221",M,HISPANIC OR LATINO,W STASSNEY LN / ROSE HILL CIR,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,098,505","10,050,666"
3/24/2015,"2,238",M,BLACK,6108 CAMERON RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,128,085","10,089,630"
3/24/2015,"2,251",M,HISPANIC OR LATINO,S CONGRESS AVE / W BEN WHITE BLVD SVRD WB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,108,125","10,054,364"
3/24/2015,"2,258",M,WHITE,SPRINGDALE RD / E MARTIN LUTHER KING JR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,WEAPONS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,133,150","10,077,671"
3/24/2015,"2,339",M,WHITE,5000 N IH 35 SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,124,053","10,085,946"
3/25/2015,23,M,HISPANIC OR LATINO,645 MIDDLE LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,130,140","10,103,521"
3/25/2015,247,M,WHITE,2900 N IH 35 UPPER DECK SB,YES = 1,MOTOR VEHICLE DRIVER,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,120,316","10,078,747"
3/25/2015,9,M,WHITE,2000 E 7TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,WEAPONS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,121,472","10,068,882"
3/25/2015,109,M,HISPANIC OR LATINO,400 COOPER DR,YES = 1,SUSPICIOUS PERSON / VEHICLE,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,128,324","10,104,743"
3/25/2015,121,M,BLACK,600 BARWOOD PARK,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,128,171","10,100,704"
3/25/2015,125,M,WHITE,1000 CONCORDIA AVE,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,120,747","10,080,129"
3/25/2015,51,M,WHITE,1100 CRIPPLE CREEK DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,127,358","10,109,638"
3/25/2015,100,M,HISPANIC OR LATINO,300 WHITE OAK DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,126,854","10,099,952"
3/25/2015,443,M,HISPANIC OR LATINO,3700 BLOCK N IH 35 SVRD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,121,262","10,080,275"
3/25/2015,756,M,HISPANIC OR LATINO,1600 E OLTORF ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,115,622","10,058,178"
3/25/2015,"1,030",F,HISPANIC OR LATINO,1600 E OLTORF ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,115,622","10,058,178"
3/25/2015,"1,428",M,BLACK,E OLTORF ST / PARKER LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,116,483","10,057,798"
3/25/2015,"1,831",M,HISPANIC OR LATINO,800 BERRYWOOD DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,135,253","10,113,062"
3/25/2015,"1,909",M,HISPANIC OR LATINO,1500 MONTOPOLIS DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,127,733","10,056,767"
3/25/2015,"1,909",M,HISPANIC OR LATINO,1500 MONTOPOLIS DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,127,733","10,056,767"
3/25/2015,"2,012",M,HISPANIC OR LATINO,6300 BLUFF SPRINGS RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,107,845","10,043,059"
3/25/2015,"2,200",F,WHITE,502 DEEN AVE,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,127,128","10,102,838"
3/25/2015,"2,200",F,HISPANIC OR LATINO,502 DEEN AVE,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,127,128","10,102,838"
3/26/2015,110,F,HISPANIC OR LATINO,114 W FAWNRIDGE DR,YES = 1,,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,128,418","10,104,081"
3/25/2015,"2,132",M,HISPANIC OR LATINO,14000 N IH 35 SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,135,667","10,130,038"
3/26/2015,105,M,WHITE,E 6TH ST / NECHES ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,115,762","10,070,320"
3/25/2015,"2,221",M,BLACK,ED BLUESTEIN BLVD SVRD NB / PURPLE SAGE DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,139,449","10,087,648"
3/25/2015,"2,232",F,BLACK,3700 MANORWOOD RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,126,305","10,077,821"
3/26/2015,50,M,WHITE,E 6TH ST / RED RIVER ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,116,099","10,070,216"
3/26/2015,112,M,HISPANIC OR LATINO,500 E 8TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,116,003","10,071,013"
3/26/2015,112,F,WHITE,500 E 8TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,116,003","10,071,013"
3/26/2015,215,F,WHITE,10199 DESSAU RD,YES = 1,SUSPICIOUS PERSON / VEHICLE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,136,672","10,105,015"
3/26/2015,132,M,HISPANIC OR LATINO,E 15TH ST / N IH 35 SVRD SB,NO = 2,,,,"3,117,740","10,073,274"
3/26/2015,147,M,HISPANIC OR LATINO,700 BLOCK S CONGRESS AVE,NO = 2,,,,"3,112,831","10,065,868"
3/26/2015,842,M,WHITE,700 BLOCK W ANDERSON LN SVRD WB,NO = 2,,,,"3,124,333","10,099,479"
3/26/2015,706,M,WHITE,4003 JAMES CASEY ST,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,105,002","10,055,611"
3/26/2015,830,M,BLACK,5500 BLOCK AIRPORT BLVD,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,123,010","10,088,823"
3/26/2015,837,M,WHITE,10200 BLOCK N IH 35 SVRD SB,NO = 2,,,,"3,132,415","10,107,321"
3/26/2015,837,F,HISPANIC OR LATINO,10200 BLOCK N IH 35 SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,132,415","10,107,321"
3/26/2015,837,M,HISPANIC OR LATINO,10200 BLOCK N IH 35 SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,132,415","10,107,321"
3/26/2015,929,M,HISPANIC OR LATINO,900 HERNDON LN,YES = 1,,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,107,638","10,060,723"
3/26/2015,"1,650",M,HISPANIC OR LATINO,800 E 3RD ST,NO = 2,,,,"3,116,778","10,068,939"
3/26/2015,"1,613",F,HISPANIC OR LATINO,1200 BLOCK MONTOPOLIS DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,128,339","10,058,011"
3/26/2015,"1,613",M,HISPANIC OR LATINO,1200 BLOCK MONTOPOLIS DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,128,339","10,058,011"
3/26/2015,"1,727",M,WHITE,900 BLOCK VALDEZ ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,130,075","10,058,123"
3/26/2015,"1,906",M,BLACK,5515 CAMERON RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,DRUGS,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,126,036","10,087,533"
3/26/2015,"1,906",M,BLACK,5515 CAMERON RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,DRUGS,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,126,036","10,087,533"
3/26/2015,"1,906",M,BLACK,5515 CAMERON RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,DRUGS,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,126,036","10,087,533"
3/26/2015,"1,931",M,WHITE,5700 CAMERON RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,126,690","10,088,315"
3/27/2015,116,F,WHITE,6303 WALEBRIDGE LN,YES = 1,CALL FOR SERVICE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,067,882","10,041,402"
3/26/2015,"2,128",M,HISPANIC OR LATINO,LAKE CREEK PKWY / N US 183 HWY SVRD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,096,690","10,140,684"
3/26/2015,"2,028",M,BLACK,6503 S IH 35 SVRD NB,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,106,775","10,042,620"
3/26/2015,"2,035",M,HISPANIC OR LATINO,9600 BLOCK N IH 35 SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,130,407","10,103,262"
3/26/2015,"2,035",M,HISPANIC OR LATINO,9600 BLOCK N IH 35 SB,YES = 1,,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,130,407","10,103,262"
3/26/2015,"2,338",M,WHITE,W STASSNEY LN / NANCY DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,101,859","10,048,975"
3/27/2015,5,M,HISPANIC OR LATINO,900 BASTROP HWY NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,133,571","10,057,133"
3/26/2015,"2,357",F,BLACK,5621 AIRPORT BLVD,NO = 2,,,,"3,123,528","10,089,251"
3/26/2015,"2,357",F,BLACK,5621 AIRPORT BLVD,NO = 2,,,,"3,123,528","10,089,251"
3/26/2015,"2,359",M,WHITE,3303 N LAMAR BLVD,YES = 1,CALL FOR SERVICE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,113,391","10,082,979"
3/27/2015,117,F,BLACK,1300 E ST JOHNS AVE,NO = 2,,,,"3,129,473","10,092,638"
3/27/2015,223,M,HISPANIC OR LATINO,E MARTIN LUTHER KING JR BLVD / SPRINGDALE RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,DRUGS,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,133,150","10,077,671"
3/27/2015,223,M,HISPANIC OR LATINO,E MARTIN LUTHER KING JR BLVD / SPRINGDALE RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,133,150","10,077,671"
3/27/2015,123,M,ASIAN,700 TRINITY ST,NO = 2,,,,"3,115,516","10,070,801"
3/27/2015,245,M,WHITE,7300 MC NEIL DR,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,105,344","10,131,405"
3/27/2015,301,F,WHITE,3500 BLOCK N MOPAC EXPY SB,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,109,343","10,086,090"
3/27/2015,206,F,WHITE,1819 W CESAR CHAVEZ ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,107,105","10,072,474"
3/27/2015,215,M,HISPANIC OR LATINO,3700 BLOCK N LAMAR BLVD,NO = 2,,,,"3,113,665","10,084,035"
3/27/2015,219,M,HISPANIC OR LATINO,2800 BLOCK S IH 35 SB,NO = 2,,,,"3,114,287","10,056,702"
3/27/2015,222,F,HISPANIC OR LATINO,3100 N MOPAC EXPY SB,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,109,047","10,084,091"
3/27/2015,242,F,WHITE,10800 BLOCK S IH 35 SB,NO = 2,,,,"3,098,849","10,025,066"
3/27/2015,520,F,WHITE,3500 SPICEWOOD SPRINGS RD,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,112,714","10,104,673"
3/27/2015,316,M,WHITE,1900 PEARL ST,NO = 2,,,,"3,112,852","10,076,304"
3/27/2015,810,M,HISPANIC OR LATINO,E BRAKER LN / N IH 35 SVRD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,134,581","10,110,842"
3/27/2015,"1,046",F,HISPANIC OR LATINO,1000 SPRINGDALE RD,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,129,272","10,070,290"
3/27/2015,"1,304",F,BLACK,1100 BARBARA JORDAN BLVD,NO = 2,,,,"3,124,107","10,085,374"
3/27/2015,"1,119",M,BLACK,601 W BEN WHITE BLVD SVRD EB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,106,128","10,055,332"
3/27/2015,"1,130",M,BLACK,5300 BLOCK N IH 35 SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,DRUGS,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,124,461","10,087,009"
3/27/2015,"1,205",M,WHITE,WOODLAND AVE / BURTON DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,119,102","10,059,185"
3/27/2015,"1,245",M,BLACK,800 RUTHERFORD LN,NO = 2,,,,"3,128,245","10,098,612"
3/27/2015,"1,301",M,BLACK,ANDERSON SQ / W ANDERSON LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,121,544","10,100,696"
3/27/2015,"1,301",M,HISPANIC OR LATINO,ANDERSON SQ / W ANDERSON LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,121,544","10,100,696"
3/27/2015,"1,301",M,HISPANIC OR LATINO,ANDERSON SQ / W ANDERSON LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,121,544","10,100,696"
3/27/2015,"1,306",M,HISPANIC OR LATINO,2100 E RIVERSIDE DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,119,711","10,060,782"
3/27/2015,"1,601",F,WHITE,3600 SPICEWOOD SPRINGS RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,111,890","10,105,145"
3/27/2015,"1,711",M,HISPANIC OR LATINO,400 BLOCK E RUNDBERG LN,YES = 1,PRE-EXISTING KNOWLEDGE,WEAPONS,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,129,775","10,104,534"
3/27/2015,"1,903",M,WHITE,11300 N IH 35 SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,134,556","10,111,322"
3/27/2015,"2,050",F,BLACK,4300 AIRPORT BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,124,521","10,081,905"
3/27/2015,"2,151",F,BLACK,12424 BLOCK RESEARCH BLVD SVRD SB,YES = 1,PRE-EXISTING KNOWLEDGE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,108,441","10,128,662"
3/27/2015,"2,147",M,BLACK,2201 MONTOPOLIS DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,126,802","10,054,470"
3/27/2015,"2,217",F,BLACK,9500 BLOCK BURNET RD,NO = 2,VIOLATION OF CITY ORDIANCE,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,118,883","10,111,233"
3/27/2015,"2,152",M,HISPANIC OR LATINO,200 W BEN WHITE BLVD SVRD EB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,107,690","10,054,238"
3/27/2015,"2,322",F,HISPANIC OR LATINO,2307 W BRAKER LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,122,256","10,115,518"
3/27/2015,"2,224",M,WHITE,4100 BLOCK FREIDRICH LN,NO = 2,,,,"3,113,338","10,050,997"
5/6/2015,"1,813",F,WHITE,505 E KOENIG LN,NO = 2,,,,"3,122,218","10,090,090"
3/28/2015,25,M,HISPANIC OR LATINO,E RIVERSIDE DR / S PLEASANT VALLEY RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,120,701","10,058,393"
3/28/2015,39,M,HISPANIC OR LATINO,11521 N FM 620 RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,086,561","10,137,995"
3/28/2015,47,M,WHITE,13000 N IH 35 SVRD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,135,044","10,124,270"
3/28/2015,231,M,BLACK,5100 N MOPAC EXPY NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,109,760","10,092,879"
3/28/2015,111,M,HISPANIC OR LATINO,800 W 6TH ST,NO = 2,,,,"3,111,739","10,071,612"
3/28/2015,125,M,BLACK,517 E BEN WHITE BLVD SVRD EB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,110,047","10,052,871"
3/28/2015,526,M,WHITE,8600 SPICEWOOD SPRINGS RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,CASH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,102,677","10,130,254"
3/28/2015,153,M,MIDDLE EASTERN,700 N IH 35 SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,116,878","10,070,401"
3/28/2015,157,M,WHITE,MANCHACA RD / MATTHEWS LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,094,508","10,045,523"
3/28/2015,445,M,HISPANIC OR LATINO,700 W SLAUGHTER LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,096,363","10,036,140"
3/28/2015,410,M,HISPANIC OR LATINO,10700 RESEARCH BLVD SVRD NB,YES = 1,SUSPICIOUS PERSON / VEHICLE,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,112,264","10,117,929"
3/28/2015,600,M,BLACK,2500 S US 183 HWY NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,133,582","10,050,900"
3/28/2015,807,M,HISPANIC OR LATINO,1600 E RIVERSIDE DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,118,213","10,062,790"
3/28/2015,842,M,HISPANIC OR LATINO,S LAMAR BLVD / BARTON SPRINGS RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,109,411","10,068,019"
