REP_DATE,REP_TIME,APD_sector,RACE_KNOWN,Reason for Stop – TCOLE form,SEX,APD_RACE_DESC,Person Search YN,Search Found,X_COORDINATE,Y_COORDINATE
1/31/2019,1605,AD,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES = 1,NOTHING,3119519,10114550
1/23/2019,2353,DA,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,F,WHITE,YES = 1,OTHER,3083506,10043590
2/20/2019,1952,FR,,Moving Traffic Violation,M,WHITE,,,3111605,10050585
1/6/2019,422,BA,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,F,WHITE,YES = 1,NOTHING,3106578,10074000
1/18/2019,2104,DA,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,F,WHITE,YES = 1,DRUGS,3095650,10052234
1/18/2019,2206,BA,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES = 1,NOTHING,3118105,10108280
2/5/2019,1421,ED,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,Moving Traffic Violation,M,BLACK,YES = 1,OTHER,3129860,10101495
2/15/2019,207,DA,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES = 1,OTHER,3113386,10068034
3/16/2019,2047,BA,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES = 1,NOTHING,3110500,10071407
1/5/2019,103,CH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,BLACK,YES = 1,NOTHING,3140355,10077430
1/5/2019,452,DA,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,F,BLACK,YES = 1,NOTHING,3113146,10054510
1/15/2019,1947,DA,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,F,WHITE,YES = 1,NOTHING,3102950,10056094
2/28/2019,2043,CH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,F,WHITE,NO = 2,,3125170,10079627
3/1/2019,150,DA,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES = 1,OTHER,3081836,10044020
3/4/2019,1237,CH,,Moving Traffic Violation,M,BLACK,,,3117123,10069587
